Country,Military Troops (Active),Military Troops (Reserve),Military Troops (Para-),Military Troops (Total),Military Troops (Total) (per capita),Military Troops (Active) (per capita)
Thailand[188][189][v],305860,245000,113700,664560,0.0101,0.0046
Timor Leste[190],1332,0,0,1332,0.0013,0.0013
Tonga[191][192],220,280,0,500,0.0045,0.002
Togo[193],8550,0,750,9300,0.0015,0.0014
Trinidad and Tobago[194],4063,0,0,4063,0.0033,0.0033
Tunisia[195],35800,0,12000,47800,0.0046,0.0034
Turkey[196][197],664049,378700,45181,1087930,0.0142,#VALUE!
Turkmenistan[199],22000,0,0,22000,0.0045,0.0045
Uganda[200],45000,0,1800,46800,0.0014,0.0014
Ukraine[201][202],130000,1000000,84900,1214900,0.0266,0.0028
United Arab Emirates[203],51000,0,0,51000,0.0106,0.0106
United Kingdom[204][205][206],205850,181720,0,387570,0.0063,0.0034
United States of America[w][207][208][209][210],1429995,850880,11035,2291910,0.0073,0.0045
Uruguay[211],24621,0,920,25541,0.0073,0.007
Uzbekistan[212],67000,0,20000,87000,0.0032,0.0024
Vanuatu[213],0,0,300,300,0.0013,0
Venezuela[214][215],115000,38000,400000,553000,0.0206,0.0043
Vietnam[216][x],455000,5000000,40000,5495000,0.062,0.0051
Yemen[217],66700,0,71200,137900,0.006,0.0029
Zambia[218],15100,3000,1400,19500,0.0016,0.0013
Zimbabwe[219],29000,0,21800,50800,0.0045,0.0025
